DC,SPOD,POD,DR-DC,DR-SPOD
chi,sp1,sr1,None,None
chi,sp2,na2,was,sp2
chi,sp3,cs24,was,sp3
chi,sp3,cs27,was,sp3
chi,sp3,cs28,was,sp3
chi,sp3,na18,was,sp3
chi,sp4,cs1,was,sp4
chi,sp4,cs40,was,sp4
chi,sp4,cs42,was,sp4
chi,sp4,cs45,was,sp4
chi,sp4,cs46,was,sp4
chi,sp4,na28,was,sp4
chi,sp4,na29,was,sp4
chi,sp4,na31,was,sp4
chi,sp4,na6,was,sp4
dfw,sp1,cs13,phx,sp1
dfw,sp1,cs30,phx,sp1
dfw,sp1,cs50,phx,sp1
dfw,sp1,cs51,phx,sp1
dfw,sp1,na3,phx,sp1
dfw,sp1,na32,phx,sp1
dfw,sp2,cs60,phx,sp2
dfw,sp2,cs61,phx,sp2
dfw,sp2,na38,phx,sp2
dfw,sp3,cs10,phx,sp3
dfw,sp3,cs11,phx,sp3
dfw,sp3,cs70,phx,sp3
dfw,sp3,cs71,phx,sp3
dfw,sp3,cs9,phx,sp3
dfw,sp3,na40,phx,sp3
dfw,sp3,na51,phx,sp3
dfw,sp3,na52,phx,sp3
dfw,sp4,cs23,phx,sp4
dfw,sp4,cs25,phx,sp4
dfw,sp4,cs26,phx,sp4
dfw,sp4,cs69,phx,sp4
dfw,sp4,cs90,phx,sp4
dfw,sp4,na53,phx,sp4
dfw,sp4,na61,phx,sp4
dfw,sp4,na62,phx,sp4
dfw,sp4,na67,phx,sp4
dfw,sp4,na68,phx,sp4
frf,sp1,cs83,lon,sp9
frf,sp1,cs84,par,sp1
frf,sp1,cs85,par,sp1
frf,sp1,eu11,par,sp1
frf,sp1,eu2,lon,sp9
frf,sp1,eu4,lon,sp9
frf,sp1,eu6,lon,sp9
frf,sp1,eu7,par,sp1
frf,sp1,eu9,par,sp1
iad,sp1,cs14,ord,sp1
iad,sp1,cs17,ord,sp1
iad,sp1,cs18,ord,sp1
iad,sp1,cs64,ord,sp1
iad,sp1,cs65,ord,sp1
iad,sp1,cs8,ord,sp1
iad,sp1,na46,ord,sp1
iad,sp1,na49,ord,sp1
iad,sp1,na50,ord,sp1
iad,sp1,na56,ord,sp1
